rank,title,developer,version,price_usd,rating,votes,content_rating,category,min_installs,max_installs,updated,rank_change_day,rank_change_week,store_url
1,Clash of Clans,Supercell,6.56.2,$0.00 ,4.56,3134089,Medium Maturity,Strategy,10000000,50000000,4/17/14,0,0,https://play.google.com/store/apps/details?id=com.supercell.clashofclans
2,Candy Crush Saga,King.com,Varies with device,$0.00 ,4.36,6085041,Everyone,Casual,100000000,500000000,5/7/14,0,0,https://play.google.com/store/apps/details?id=com.king.candycrushsaga
3,Farm Heroes Saga,King.com,2.5.7,$0.00 ,4.34,2202519,Everyone,Casual,50000000,100000000,4/25/14,0,0,https://play.google.com/store/apps/details?id=com.king.farmheroessaga
4,Pet Rescue Saga,King.com,1.18.6,$0.00 ,4.23,1074190,Everyone,Casual,50000000,100000000,5/7/14,0,-1,https://play.google.com/store/apps/details?id=com.king.petrescuesaga
5,Hay Day,Supercell,1.17.99,$0.00 ,4.42,2135814,Medium Maturity,Family,10000000,50000000,4/17/14,0,1,https://play.google.com/store/apps/details?id=com.supercell.hayday
6,Castle Clash,IGG.COM,1.2.44,$0.00 ,4.54,1336469,Medium Maturity,Strategy,10000000,50000000,5/9/14,0,0,https://play.google.com/store/apps/details?id=com.igg.castleclash
7,Brave Frontier,gumi Inc.,1.1.6,$0.00 ,4.47,276869,Everyone,Action,1000000,5000000,4/10/14,-1,0,https://play.google.com/store/apps/details?id=sg.gumi.bravefrontier
8,Slotomania - FREE Slots,Playtika,Varies with device,$0.00 ,4.37,462968,Medium Maturity,Casino,10000000,50000000,4/24/14,1,0,https://play.google.com/store/apps/details?id=air.com.playtika.slotomania
9,Jackpot Party Casino - Slots,Williams Interactive,1.23,$0.00 ,4.17,69239,Medium Maturity,Casino,1000000,5000000,3/20/14,-2,-8,https://play.google.com/store/apps/details?id=com.williamsinteractive.jackpotparty
10,PandoraÂ® internet radio,Pandora,Varies with device,$0.00 ,4.46,1447619,Everyone,Music & Audio,100000000,500000000,5/6/14,1,0,https://play.google.com/store/apps/details?id=com.pandora.android
11,BINGO Blitz - FREE Bingo+Slots,"Buffalo Studios, LLC",2.61.0,$0.00 ,4.43,143437,Medium Maturity,Casino,5000000,10000000,5/8/14,1,-7,https://play.google.com/store/apps/details?id=air.com.buffalo_studios.newflashbingo
12,Knights & Dragons,"GREE, INC",Varies with device,$0.00 ,4.54,200398,Everyone,Action,5000000,10000000,5/6/14,-3,3,https://play.google.com/store/apps/details?id=com.iugome.lilknights
13,Family Guy The Quest for Stuff,TinyCo,Varies with device,$0.00 ,4.07,223997,Medium Maturity,Adventure,5000000,10000000,5/9/14,1,0,https://play.google.com/store/apps/details?id=com.tinyco.familyguy
14,FarmVille 2: Country Escape,Zynga,1.6.56,$0.00 ,4.29,268570,Medium Maturity,Family,1000000,5000000,5/8/14,0,0,https://play.google.com/store/apps/details?id=com.zynga.FarmVille2CountryEscape
15,Dragon City,socialpoint,2.7,$0.00 ,4.42,843332,Everyone,Simulation,10000000,50000000,4/24/14,2,-5,https://play.google.com/store/apps/details?id=es.socialpoint.DragonCity
