name,id,group,Rank,Rating,Reviews,Min Installs,Price,Rank Change (week)
Clash of Clans,0,Strategy,1,4.56,3134089,10000000,0,0
Candy Crush Saga,0,Casual,2,4.36,6085041,100000000,0,0
Farm Heroes Saga,0,Casual,3,4.34,2202519,50000000,0,0
Pet Rescue Saga,0,Casual,4,4.23,1074190,50000000,0,1
Hay Day,0,Family,5,4.42,2135814,10000000,0,-1
Castle Clash,0,Strategy,6,4.54,1336469,10000000,0,0
Brave Frontier,0,Action,7,4.47,276869,1000000,0,0
Slotomania - FREE Slots,0,Casino,8,4.37,462968,10000000,0,0
Jackpot Party Casino - Slots,0,Casino,9,4.17,69239,1000000,0,8
Pandoraëå internet radio,0,Music & Audio,10,4.46,1447619,100000000,0,0
BINGO Blitz - FREE Bingo+Slots,0,Casino,11,4.43,143437,5000000,0,7
Knights & Dragons,0,Action,12,4.54,200398,5000000,0,-3
Family Guy The Quest for Stuff,0,Adventure,13,4.07,223997,5000000,0,0
FarmVille 2: Country Escape,0,Family,14,4.29,268570,1000000,0,0
Dragon City,0,Simulation,15,4.42,843332,10000000,0,5
The Simpsons_†¢: Tapped Out,0,Casual,16,4.37,302288,5000000,0,3
The Hobbit: Kingdoms,0,Strategy,17,4.06,120410,5000000,0,-2
DoubleDown Casino - FREE Slots,0,Casino,18,4.11,95956,10000000,0,7
Big Fish Casino,0,Casino,19,4.28,57560,5000000,0,4
MARVEL War of Heroes,0,Arcade,20,3.75,47733,10000000,0,-4
Dragons of Atlantis: Heirs,0,Strategy,21,4.27,116709,1000000,0,0
Empire: Four Kingdoms,0,Strategy,22,4.02,206620,10000000,0,-11
myVEGAS Slots Free Casino,0,Casino,23,4.5,111346,1000000,0,3
Bingo Bash - Free Bingo Casino,0,Casino,24,4.24,259352,10000000,0,-2
GSN Casino FREE Slots & Bingo,0,Casino,25,4.35,119064,5000000,0,3
Slots - House of Fun,0,Casino,26,4.2,56366,1000000,0,1
Slot City - FREE Tournaments,0,Casino,27,4.49,323848,10000000,0,-3
Age of Warring Empire,0,Role Playing,28,4.39,287634,10000000,0,2
Zynga Poker _Ñ_ Texas Holdem,0,Casino,29,4.35,502819,10000000,0,2
Blood Brothers (RPG),0,Action,30,4.52,245231,10000000,0,4
Puzzle & Dragons,0,Puzzle,31,4.34,31239,1000000,0,-19
Papa Pear Saga,0,Casual,32,4.05,507014,10000000,0,0
CSR Classics,0,Racing,33,4.45,178819,1000000,0,-4
